Day   Month   Year    Tmin(C)     Tmax(C)     Prpc(mm)    Et0(mm)     
12    6       2017    20.74       33.31       2.48e-08    6.10        
13    6       2017    18.22       35.63       2.40e-08    4.74        
14    6       2017    17.55       39.60       2.64e-08    9.85        
15    6       2017    20.27       41.69       2.65e-08    10.42       
16    6       2017    20.62       42.41       2.69e-08    8.81        
17    6       2017    23.21       42.64       2.76e-08    9.14        
18    6       2017    24.52       44.26       2.85e-08    7.34        
19    6       2017    27.32       47.41       2.98e-08    6.77        
20    6       2017    27.41       48.18       3.06e-08    5.25        
21    6       2017    29.63       46.66       3.12e-08    6.67        
22    6       2017    28.72       44.48       3.05e-08    4.18        
23    6       2017    27.14       44.22       3.05e-08    5.64        
24    6       2017    28.85       46.47       3.05e-08    3.36        
25    6       2017    31.24       45.87       3.08e-08    5.56        
26    6       2017    30.30       43.74       3.08e-08    5.13        
27    6       2017    27.60       42.32       2.96e-08    7.09        
28    6       2017    26.67       42.50       2.88e-08    8.76        
29    6       2017    24.71       42.13       2.81e-08    9.19        
30    6       2017    24.60       41.86       2.75e-08    7.14        
1     7       2017    24.78       43.98       2.72e-08    5.33        
2     7       2017    25.06       42.65       2.76e-08    6.26        
3     7       2017    28.32       40.65       2.96e-08    7.85        
4     7       2017    27.89       42.91       2.95e-08    7.39        
5     7       2017    29.19       43.99       2.88e-08    5.25        
6     7       2017    29.02       44.26       2.89e-08    3.71        
7     7       2017    30.19       46.33       2.81e-08    6.48        
8     7       2017    32.33       44.19       2.84e-08    6.73        
9     7       2017    29.46       41.54       2.86e-08    6.43        
10    7       2017    28.12       41.95       2.87e-08    6.70        
11    7       2017    26.78       39.09       2.83e-08    7.05        
12    7       2017    28.76       41.71       2.87e-08    7.29        
13    7       2017    28.34       41.76       2.88e-08    6.83        
14    7       2017    28.13       41.95       2.81e-08    5.10        
15    7       2017    27.83       42.38       2.77e-08    5.30        
16    7       2017    25.51       39.39       2.76e-08    4.86        
17    7       2017    23.61       37.43       2.65e-08    3.10        
18    7       2017    23.51       38.43       2.65e-08    4.65        
19    7       2017    27.10       37.38       2.80e-08    5.92        
20    7       2017    26.57       38.83       2.81e-08    6.01        
21    7       2017    27.10       39.71       2.78e-08    5.78        
22    7       2017    27.21       40.86       2.84e-08    5.01        
23    7       2017    23.77       39.78       2.73e-08    5.11        
24    7       2017    23.19       32.09       2.58e-08    5.61        
25    7       2017    25.99       38.12       2.84e-08    4.82        
26    7       2017    27.56       40.21       2.90e-08    4.34        
27    7       2017    30.72       41.86       3.00e-08    5.33        
28    7       2017    27.03       37.84       2.91e-08    5.35        
29    7       2017    27.50       37.76       2.83e-08    3.89        
30    7       2017    25.89       36.64       2.81e-08    3.00        
31    7       2017    29.85       40.49       7.01e-08    4.74        
1     8       2017    25.90       37.94       2.86e-08    5.07        
2     8       2017    27.28       35.53       2.76e-08    5.56        
3     8       2017    26.76       39.63       2.73e-08    6.52        
4     8       2017    24.38       39.77       2.79e-08    5.70        
5     8       2017    27.10       39.25       4.83e-07    6.79        
6     8       2017    26.59       40.21       2.90e-08    4.49        
7     8       2017    26.42       40.75       2.88e-08    4.26        
8     8       2017    23.46       41.30       2.87e-08    4.64        
9     8       2017    26.48       43.42       2.85e-08    5.59        
10    8       2017    26.92       40.47       2.99e-08    5.57        
11    8       2017    26.45       41.44       2.85e-08    5.17        
12    8       2017    25.10       39.21       2.84e-08    4.33        
13    8       2017    22.40       36.41       2.68e-08    2.27        
14    8       2017    25.95       38.70       2.86e-08    3.04        
15    8       2017    25.82       38.96       5.60e-06    4.04        
16    8       2017    24.35       38.51       2.80e-08    4.45        
17    8       2017    23.95       39.26       5.09e-07    4.24        
18    8       2017    22.50       40.57       2.73e-08    3.85        
19    8       2017    25.32       39.92       2.06e-07    2.00        
20    8       2017    26.41       38.26       2.87e-08    2.96        
21    8       2017    25.68       39.10       5.16e-06    3.66        
22    8       2017    25.42       41.73       1.11e-05    1.94        
23    8       2017    27.42       40.25       1.10e-05    2.26        
24    8       2017    24.70       38.47       1.10e-05    5.25        
25    8       2017    25.10       41.14       5.29e-06    5.59        
26    8       2017    27.86       42.96       2.90e-08    6.21        
27    8       2017    28.50       42.29       2.89e-08    7.75        
28    8       2017    27.84       42.78       2.91e-08    5.88        
29    8       2017    26.32       42.10       2.90e-08    4.29        
30    8       2017    29.23       41.73       2.93e-08    3.17        
31    8       2017    26.50       41.32       2.85e-08    7.50        
1     9       2017    23.98       41.82       2.80e-08    6.14        
2     9       2017    27.01       37.35       2.81e-08    3.42        
3     9       2017    26.49       38.19       2.80e-08    2.98        
4     9       2017    25.62       39.42       2.80e-08    1.58        
5     9       2017    25.88       41.43       2.85e-08    2.65        
6     9       2017    24.93       41.88       2.85e-08    0.87        
7     9       2017    26.94       39.38       2.84e-08    1.00        
8     9       2017    24.52       36.31       2.73e-08    1.04        
9     9       2017    24.60       35.35       2.71e-08    3.19        
10    9       2017    25.24       40.36       2.80e-08    3.29        
11    9       2017    26.02       41.46       2.86e-08    3.70        
12    9       2017    26.20       42.64       2.87e-08    3.09        
13    9       2017    27.51       41.02       2.89e-08    3.15        
14    9       2017    25.56       32.26       2.50e-08    4.40        
